Date,AIEG,AIESH,Gaselwest,IMEA,IVEG,IVEKA,Imewo,Infrax West,Inter-Energa,Intergem,Iverlek,Ores Brabant wallon,Ores Est,Ores Hainaut,Ores Luxembourg,Ores Mouscron,Ores Namur,Ores Verviers,PBE,Regie de Wavre,Resa,Sibelga,Sibelgas
2015-03-30,1440.8,1092.3,1461.28,1363.27,1564.08,1480.92,1441.81,1492.62,1455.03,1454.76,1477.2,1417.94,1399.51,1351.32,1372.55,1455.13,1415.04,1346.37,1429.3,1474.48,1414.78,1468.575,1467.39
2015-03-31,1122.25,979.06,1634.81,1448.32,1675.18,1463.72,1636.79,1678.35,1188.35,1590.75,1485.87,1319.42,1066,1324.42,968.17,1597.63,1148.34,1018.85,1278.65,1230.43,1085.66,1548.72,1554.45
2015-04-01,1322.79,1026.12,1636.13,2292.56,3113.76,1351.78,1597.28,1699.99,1309.86,1444.6,1383.23,1339.93,1202.58,1359.99,1036.43,1600.07,1291.44,1154.79,1306.96,1343.53,3365.3,1403.06,1401.56
2015-04-02,1582.95,1243.36,1685.63,2723.82,3670.68,1637.61,1678.45,1705.28,1571.99,1658.87,1653.55,1603.77,1323.41,1572.7,1268.27,1658.17,1571.4,1361.8,1585.84,1643.85,4027.27,1658.175,1655.49
2015-04-03,869.43,548.48,545.73,1239.94,1652.52,824.65,579.66,525.53,986.57,702.66,782.04,754.64,1312.64,618.34,908.22,519.79,800.91,1052.15,833.32,805.39,2671.73,744.2,741.85
2015-04-04,880.64,620.99,739.72,1411.39,1897.22,906.45,749.73,762.02,1023.65,818.51,864.92,805.34,1023.4,697.17,760.75,690.81,800.78,978.91,881.14,798.4,2655.61,842.27,839.99
2015-04-05,1825.81,1644.68,2159.35,3231.83,4338.09,1917.3,2118.71,2168.72,1814.03,2002,1966.82,1964.02,1756.16,2040.51,1802.06,2201.04,1858.47,1691.09,1855.08,1947.88,4747.71,1971.97,1966.66
2015-04-06,897.13,761.35,528.66,1044.23,1382.03,731.87,502.72,520.51,864.71,574.5,695.92,725.3,775.35,647.56,1140.8,526.19,896.15,808.03,783.91,844.72,2322.31,638.55,633.2
2015-04-07,1996.16,1784.19,2097.51,3238.57,4357.1,1954.1,2056.62,2110.22,1947.42,1989.16,1993.54,2007.13,1986.89,2049.65,2118.42,2116.53,2044.34,1854.49,1942.58,2056.44,5195.84,1987.24,1979.67
2015-04-08,1893.39,1606.69,1723.72,2576.36,3446.01,1634.2,1639.23,1757.1,1713.58,1546.82,1638.61,1691.05,1719.29,1716.13,2068.68,1733.35,1843.15,1647.93,1681.68,1773.26,4850.66,1576.52,1569.82
2015-04-09,2161.62,1890.1,2178.81,3502.47,4705.16,2116.39,2145.24,2178.34,2132.89,2132.44,2149.19,2160.76,2205.38,2185.31,2294.32,2196.28,2210.27,2077.06,2095.74,2213.55,5750.34,2140.025,2133.98
2015-04-10,2159.82,1780.28,2166.02,3514.73,4722.63,2119.75,2141.09,2170.14,2143.65,2136.53,2148.01,2142.02,2223.81,2144.91,2262.37,2183.42,2191.98,2080.9,2094.41,2201.57,5763.39,2145.455,2140.59
2015-04-11,692.44,615.03,938.17,1233.17,1673.51,720.62,886.3,948,663.03,784.91,747.53,739.12,674.41,796.37,511.4,969.95,681.54,598.25,694.23,733.96,1692.59,756.135,753.55
2015-04-12,2257.66,1895.58,2299.88,3751.45,5044.55,2272.23,2278.16,2298.98,2254.93,2276.46,2292.8,2269.87,2250.18,2274.11,2305.03,2312.81,2299.42,2135.87,2225.74,2329.69,5984.03,2284.285,2279.46
2015-04-13,1655.79,1237.79,1514.18,3165.13,4232.58,1946.04,1583.07,1524.64,1889.17,1821.48,1899.92,1742.79,1565.22,1485.59,1544.59,1419.88,1636.04,1600.28,1824.71,1791.99,4584.64,1891.17,1893.96
2015-04-14,2320.45,1964.74,2392.35,3852.37,5186.76,2330.1,2364.82,2403.93,2305.72,2345.84,2353.06,2319.69,2316.09,2328.92,2366.06,2403.65,2354.4,2196.73,2281.49,2373.85,6113.94,2348.06,2343.66
2015-04-15,2293.66,1962.85,2325.94,3688.82,4960.18,2239.51,2281.3,2337.89,2270.1,2247.47,2269.05,2272.37,2324.75,2289.25,2320.59,2342.26,2328.64,2197.76,2224.86,2342.83,6082.23,2255.09,2249.04
2015-04-16,1955.41,1569.92,1913.16,3451.04,4632.32,2064.48,1975.08,1912.91,1999.07,2076.95,2083.18,2016.04,2003.87,1899.64,1833.7,1866.85,1979.07,1889.43,1992.59,2044.48,5279.29,2091.95,2091.72
2015-04-17,1938.58,1511.26,2021.45,3287.56,4424.61,2011.75,2016.37,2038.3,2032.55,1991.87,2010.11,1945.87,1933.79,1882.71,1585.85,2014.79,1903.79,1892.24,1965.69,1976.23,5282.7,1990.045,1987.22
